列帳機構,交易機構,年度,月份,總帳科目,明細帳,科目名稱,去年同期,上月累計,DAMTTM,CAMTTM,本月動支增減,累計動支數,本月預算數,至本月預算數,累計動支率%,年度預算數,年度動支率%,剩餘可動支,類別,項目代號,預算主管單位
0000,3047,115,8,5   ,A201 ,市話接續費－市話,261613.0,144042.0,0.0,0.0,0.0,144042.0,52000,393000,36.65,590000,24.41,445958.0,,C.05                ,服務中心
0000,3047,115,8,5   ,A202 ,市話接續費－長話,522733.0,280776.0,0.0,0.0,0.0,280776.0,35000,278000,101.0,419000,67.01,138224.0,,C.05                ,服務中心
0000,3047,115,8,5   ,A207 ,市話接續費－公話,910.0,563.0,0.0,0.0,0.0,563.0,0,1000,56.3,1000,56.3,437.0,,C.05                ,服務中心
0000,3047,115,8,5   ,A212 ,公用電話攤分費－公話撥叫行動電話攤分費,75667.0,44489.0,0.0,0.0,0.0,44489.0,4000,38000,117.08,57000,78.05,12511.0,,C.05                ,服務中心
0000,3047,115,8,5   ,A261 ,Ｅ.１６４用戶號碼網路電話接續費－市話,2897.0,1286.0,0.0,0.0,0.0,1286.0,0,1000,128.6,1000,128.6,-286.0,,C.05                ,服務中心
0000,3047,115,8,5   ,A288 ,行動接續費─市話,5551828.0,2914788.0,0.0,0.0,0.0,2914788.0,387000,3098000,94.09,4622000,63.06,1707212.0,,C.05                ,服務中心
0000,3047,115,8,5   ,A289 ,行動接續費─ＩＮ,1.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,,0.0,,C.05                ,服務中心
0000,3047,115,8,5   ,R20  ,行銷推廣費(重分類使用),-12000.0,-58000.0,0.0,0.0,0.0,-58000.0,0,0,,0,,58000.0,,C.03                ,9999
0000,3047,115,8,5   ,R25  ,修理保養及材料費(重分類使用),-18335379.0,-6933306.0,0.0,551264.0,-551264.0,-7484570.0,-758000,-6064000,123.43,-9096000,82.28,-1611430.0,,E.3.4               ,9999
0000,3047,115,8,5   ,R33  ,商品成本(重分類使用),-12018936.0,-6258327.0,0.0,1123002.0,-1123002.0,-7381329.0,0,0,,0,,7381329.0,,C.04                ,9999
0000,3047,115,8,5   ,R92  ,其他費用(重分類使用),-471197.0,-212250.0,0.0,33733.0,-33733.0,-245983.0,0,0,,0,,245983.0,,F.3.3               ,9999
0000,3047,115,8,5   ,1131 ,員工薪金－職階待遇,384212136.0,217938080.0,28385550.0,29691.0,28355859.0,246293939.0,32421000,254435000,96.8,379233000,64.95,132939061.0,,A.1                 ,人發駐點
